Years','Stahle et al. (1998)','Mann et al. (2000)','Li et al. (2011) NADA PC1','Li et al. (2013) Tree-rings PC1','Freund et al. (2019) NCT DJF','Freund et al. (2019) NWP DJF','Freund et al. (2019) Nino4 DJF','Freund et al. (2019) Nino3 DJF','Stahle et al. (1993)','Cook et al. (2008) Nino12','Cook et al. (2008) Nino3 ','Cook et al. (2008) Nino34 ','Cook et al. (2008) Nino4','Geay et al. (2013) Nino3','McGregor et al. (2010) ','Tierney et al. (2015) East','Tierney et al. (2015) West','Braganza et al. (2009) Multiproxy R5','Braganza et al. (2009) Multiproxy R8','DArrigo et al. (2005) Nino3','Wilson et al. (2010) Nino34 COACPR','Wilson et al. (2010) Nino34 COAPCR','Wilson et al. (2010) Nino34 TelecPCR TEL','Wilson et al. (2010) Nino34 TelecREGEM TEL','Wilson et al. 2010 Nino34 zscoreCOA','Wilson et al. (2010) Nino34 zscoreTEL','Datwyler et al. (2020) ENSO DJF','Datwyler et al. (2019) FullPeriod PC1','Torbenson et al. (2019) eMEIall','Torbenson et al. (2019) eMEIstable','Zhu et al. (2022) Corals Li13b6','Zhu et al. (2022) Corals','Zhu et al. (2022) Li13b6.','Zhu et al. (2022) Ocn2kCorals Li13b6','Liu et al. (2024) PCR','Liu et al. (2024) DD','Falster et al.(2023)','ERSST Nino34','HadISST Nino34','ISOI','ICPC SOI'
900,NaN,NaN,-1.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,NaN,-1.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
902,NaN,NaN,0.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
903,NaN,NaN,-0.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
904,NaN,NaN,0.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
905,NaN,NaN,1.801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
906,NaN,NaN,-1.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
907,NaN,NaN,-1.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
908,NaN,NaN,1.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
909,NaN,NaN,0.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
