Model,start_phase,D_obs,p_val,n_erupt,n_base
BCC-CSM1-1,El Niño,0.14285714285714288,1.0,6,84
BCC-CSM1-1,Neutral,0.10564304461942256,0.6554481839386871,24,508
BCC-CSM1-1,La Niña,0.3058823529411765,0.6661112962345884,5,85
CCSM4,El Niño,0.15151515151515152,0.8570476507830723,12,165
CCSM4,Neutral,0.1716012084592145,0.777407530823059,15,331
CCSM4,La Niña,0.2527624309392265,0.7180939686771076,8,181
CSIRO-Mk3L-1-2,El Niño,0.323943661971831,0.5918027324225258,4,71
CSIRO-Mk3L-1-2,Neutral,0.24472835524683695,0.11796067977340886,29,556
CSIRO-Mk3L-1-2,La Niña,0.46938775510204084,1.0,2,49
GISS-E2-R,El Niño,0.6216216216216215,0.42352549150283236,2,74
GISS-E2-R,Neutral,0.13811051261877388,0.457514161946018,31,533
GISS-E2-R,La Niña,0.19999999999999998,1.0,2,70
IPSL-CM5A-LR,El Niño,0.1682974559686889,1.0,7,73
IPSL-CM5A-LR,Neutral,0.09326145552560652,0.8193935354881706,28,530
IPSL-CM5A-LR,La Niña,,,0,74
MIROC-ES2L,El Niño,0.2694610778443114,0.5381539486837721,14,167
MIROC-ES2L,Neutral,0.17621899059024806,0.8143952015994669,14,334
MIROC-ES2L,La Niña,0.163961038961039,1.0,7,176
MIROC-ESM,El Niño,0.28571428571428575,1.0,3,28
MIROC-ESM,Neutral,0.085883870967742,0.5661446184605131,31,625
MIROC-ESM,La Niña,,,1,24
MPI-ESM-P,El Niño,0.8525641025641025,0.4255248250583139,3,104
MPI-ESM-P,Neutral,0.2532467532467533,0.2745751416194602,24,462
MPI-ESM-P,La Niña,0.37387387387387383,0.34155281572809065,8,111
MPI-ESM1-2,El Niño,0.42857142857142855,0.5754748417194269,7,112
MPI-ESM1-2,Neutral,0.20729576234163388,0.5284905031656114,21,436
MPI-ESM1-2,La Niña,0.09080841638981164,1.0,7,129
MRI-ESM2-0,El Niño,0.022939068100358354,1.0,9,155
MRI-ESM2-0,Neutral,0.24290780141843973,0.3992002665778074,24,376
MRI-ESM2-0,La Niña,0.7397260273972602,0.5428190603132289,2,146
