Model,EN_to_EN,EN_to_N,EN_to_LN,N_to_EN,N_to_N,N_to_LN,LN_to_EN,LN_to_N,LN_to_LN
BCC-CSM1-1,2.5,68.1,29.4,9.3,77.6,13.1,34.8,63.7,1.5
CCSM4,25.4,29.8,44.8,33.0,49.9,17.1,10.6,64.3,25.1
CSIRO-Mk3L-1-2,33.3,66.7,0.0,8.5,85.1,6.4,0.0,75.7,24.3
GISS-E2-R,2.8,74.1,23.1,12.3,77.9,9.8,7.7,89.4,2.9
IPSL-CM5A-LR,16.3,65.4,18.3,10.2,80.8,9.0,6.1,85.8,8.1
MIROC-ES2L,36.1,31.5,32.4,29.9,50.0,20.1,3.3,61.6,35.1
MIROC-ESM,10.8,86.5,2.7,3.5,93.5,3.0,0.0,96.7,3.3
MPI-ESM-P,25.3,53.8,20.9,15.7,70.0,14.3,6.2,74.1,19.7
MPI-ESM1-2,27.9,53.5,18.6,18.1,66.1,15.8,4.0,73.1,22.9
MRI-ESM2-0,12.6,46.1,41.3,28.8,56.4,14.8,19.4,59.9,20.7
