Dataset,start_phase,D_obs,p_val,n_erupt,n_base
'Zhu et al. (2022) Li13b6.',El Niño,0.2746113989637306,0.7464178607130957,8,193
'Zhu et al. (2022) Li13b6.',Neutral,0.1866666666666667,0.8283905364878373,9,225
'Zhu et al. (2022) Li13b6.',La Niña,0.27348066298342544,0.5028323892035989,16,181
'Wilson et al. (2010) Nino34 COAPCR',El Niño,0.6244725738396624,0.5851382872375874,3,79
'Wilson et al. (2010) Nino34 COAPCR',Neutral,0.24919093851132687,0.7827390869710097,6,103
'Wilson et al. (2010) Nino34 COAPCR',La Niña,0.7733333333333334,0.26657780739753417,5,75
'Freund et al. (2019) Nino4 DJF',El Niño,0.13333333333333336,1.0,5,84
'Freund et al. (2019) Nino4 DJF',Neutral,0.5476190476190477,0.3715428190603132,6,84
'Freund et al. (2019) Nino4 DJF',La Niña,0.5679012345679012,0.6124625124958347,3,81
'Li et al. (2011) NADA PC1',El Niño,0.3888888888888889,0.4618460513162279,9,252
'Li et al. (2011) NADA PC1',Neutral,0.11469534050179214,0.939353548817061,12,279
'Li et al. (2011) NADA PC1',La Niña,0.19354838709677422,0.7857380873042319,14,248
'Stahle et al. (1993)',El Niño,,,0,65
'Stahle et al. (1993)',Neutral,0.2592592592592593,1.0,4,54
'Stahle et al. (1993)',La Niña,0.7254237288135592,0.26057980673108966,5,59
'DArrigo et al. (2005) Nino3',El Niño,0.5021739130434782,0.4288570476507831,8,115
'DArrigo et al. (2005) Nino3',Neutral,0.303030303030303,0.7537487504165278,8,132
'DArrigo et al. (2005) Nino3',La Niña,0.23214285714285715,0.8920359880039986,7,112
'Datwyler et al. (2020) ENSO DJF',El Niño,0.2854864433811802,0.6564478507164279,11,228
'Datwyler et al. (2020) ENSO DJF',Neutral,0.4668304668304668,0.27924025324891705,11,259
'Datwyler et al. (2020) ENSO DJF',La Niña,0.43114311431143115,0.29323558813728756,11,202
'Geay et al. (2013) Nino3',El Niño,0.4888888888888888,0.2859046984338554,10,180
'Geay et al. (2013) Nino3',Neutral,0.1556694426649583,0.8310563145618127,14,223
'Geay et al. (2013) Nino3',La Niña,0.5,0.47150949683438853,8,152
'Liu et al. (2024) PCR',El Niño,0.20545073375262052,0.829723425524825,9,159
'Liu et al. (2024) PCR',Neutral,0.1146983857264231,0.9260246584471843,11,214
'Liu et al. (2024) PCR',La Niña,0.525891829689298,0.19026991002999,11,158
